NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,442.57
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,491.44
b38a03232f43b11c9d0788abaf060f7366053b6d,615.75
70b682d9a3636be23f6120fa9d6b164eb3c6002d,-99.53
715494628a50142ce8cb17191cfe6d0f3cae0934,608.46
e656d6bad65c93fb2880f1eba5037008c8e75774,477.33
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,528.02
11539e86171bf07d3a36f09377d7f54ebcc8406a,414.72
043c544a2104aa8a9849f1a703a08d37a2f16839,454.53
76ba050e64ad100b856f0eaabd8f539d5c7dd185,438.75
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-97.6
db4da599aab5bb08dce27094a35fd3e36cd0abce,-99.47
940aede382ccb332fab15d413217695ec44ca765,472.26
9ad714b116da76d878dd399d187fccc2dd13dd63,571.28
dd34464a4d780b12a089347ad580418ac57a3055,533.94
f837a4cb05a5fd59d20138182f5e8c721eadd584,474.61
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-99.54
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-97.86
8b0c675d7fde14953668269d378c588f0df0498b,-100.73
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,423.51
3d203727f27abd83b71732d88d8cb1cc099f363b,408.0
d30d31c8ff45094e9a992c63d4a6f68b245a341a,-107.28
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-97.2
cbc301183dec912f3513ca766bf03dd565f3a38f,505.28
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,637.41
11282da1ee78c8db45a041db4c744e33df489df0,411.47
03c67f683a415c2ea09b582248bd4cb08528c19d,596.19
046e844fb06a07ba30b41521f0065a8d9c6e5024,404.77
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,424.61
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-97.49
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-96.12
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,446.55
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,606.06
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,496.15
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,547.22
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,526.97
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,401.58
59bfa081e020013410d9f60f91813964ba749bb2,412.41
f5e069ee3bc95998464e8ff5da048b7f999921ed,391.51
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,453.53
664f44258212a1f7e4086f2b4845d586c543fa3f,457.34
265cd7befa74a9f2a198fc57baec9858075f8419,426.41
6f9ac44919bbd204e0ef15185388fd2d4bc61253,505.22
78de1ee60b55766cc3eba4089e36c57139b66ebd,454.46
24550edb10f283ef4e953fd6a8fedbfa211bd456,-100.18
1e61a474acdc043eb39a89c17fab34bd2ea1a940,453.09
940af68ded6af2875708611051aa7ff3f134d80b,482.88
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,458.64
