NU_INSCRICAO,IN_TREINEIRO
ba0cc30ba34e7a46764c09dfc38ed83d15828897,0
177f281c68fa032aedbd842a745da68490926cd2,0
6cf0d8b97597d7625cdedc7bdb6c0f052286c334,1
5c356d810fa57671402502cd0933e5601a2ebf1e,0
df47c07bd881c2db3f38c6048bf77c132ad0ceb3,0
3f28749fb79fb059caf5aed79625a5addfd7a91a,0
bb2a0edddf3c59181a1496390aaaee7f32624d9d,1
cc7cab347fe5455aae983f3701ca40f84dc01949,0
95e9338f1da02f7bfa0e3194130afdccc0fb5457,1
155f84f2ee5b34e658f2adcc70f2ec83e37040cb,0
40f4566da0536c486a34ec6ba85257eaebf3255c,0
366749b2ea3e6023fdbfdbf7c6596dfab31885d9,0
52502d4aca10ad7261a4fe9983ddca1fd8b45c31,0
52b20639bb0294b01c9be89f80cf682ac4d9f133,0
1718c649736b61d49a714f2a1c0a3e37a4d7c3b4,0
2410aa55f6eedc95bf049e118f7686714b7efca7,0
a82ffea78453d320efe7800590c717a32a9b9c7a,0
4a5b86a6ea23f1551456cbf49ed54885992de4ce,1
d3a6a5746484c9046c1fc1f58f5a0a4da252c391,0
d18ae8829870011d4a3b1651e0bfa1640b8e9eb2,0
b79c3f5daf56ab613a6ee75c8ad7d190cca42a78,0
f2a7137f1f083351e14c6625a25cdd6809abb9eb,0
bc9bf0eedfd80d0ce69a6df520b634790f3ce448,0
c567a1f6e1d7a22b58ad729bdc2a4b2836da2039,0
a309ebeff49f88dbab213711495fbb13db2328ef,0
18d4f88a769aa62d7732a5fa610d935893da52ae,0
c4a95595f52e40030703fda3dbfd7a7932395d3b,0
d3464236d53369514fbf151775b514a596a67400,0
eaafa5442e02ae0eb1269507572450c52aa373a6,0
e9e4c0a15dbd4e92cace2e00b95c16ad08632e17,0
3c3c2fabbb9fb440bb4d4d7d7a4b4a98f3272986,0
041387429dbd4bf64e9f18a19b75f2796cf3c61e,0
4aca965c4607faf0bf889022fab8349e63e8cae8,0
49314160f6dbc3714acd7ad647149995176c0962,0
90755c89e1c242a00e869fb6a295942719827559,0
06aeeb6830832f72381df99ae12866d893ebd78f,0
154e644f14ee252995a2c22792c17ffb26366cfe,0
744f552b783f74fe6c60562c5974a1451719949a,0
09c383e668c4203e92ab2c770f742359c26b9fc0,0
2860294b49b347739060ed37037e5d1f3512d060,0
0d7a71e3f09a956e79386e11cc34d07f4f15414e,1
835858565f32b2442196d7f3213885bb3e1e96ac,0
033fd0b3eefce3fc526e7d693485a1655fdd2a35,0
18594411296c6458d68f5c690e8098091ac37a64,0
296ff51e312d839a6ca944f3d4b1339a1906f3e3,1
d027667039b237d5ffa7639bb4e339d82dde2041,0
20192289d00b82d54b8f06c43f61d830987de21b,1
857b82997c6af5304ebe87cff2da9d61bf380f08,0
faa77095e360f6abbec48ff8a4916a49f7797059,0
ccd055beefae5c42b6cb7da78433ba26d99a46b7,1
25ed6a7274fa8e7a4f6634a36d8b6be43cb24af7,0
710b207e6edf277e52800e9237ce4f96cc4a8100,0
c6125a3ba667d4c93eefc6c97ce2a360038d38bb,0
4c8c3ee9f55fd167e575fb7b419c99e51d448fc9,0
f1754619b6a9e61dbccf2080255aede1316e0ff4,1
ce45cea3e87221b7781712fe2762e8b2a4f6a341,0
a31eceb3b443694224afb011a3ab210e6872b5b6,0
